Threshold,Precision,Recall_Attack,Recall_Benign,FPR,Score
0.020883534136546186,0.8348629607994574,0.3826227729105427,0.9814548368349683,0.018545163165031787,0.5320388048727555
0.021686746987951807,0.8321549459086988,0.3829785322591078,0.9810717996583485,0.01892820034165155,0.5320251659587281
0.02248995983935743,0.8298886875082648,0.383386397774887,0.9807433562862125,0.019256643713787578,0.5320648770305497
0.023293172690763052,0.8276997833895848,0.38379246652627946,0.9804232780937957,0.01957672190620432,0.5321078723100376
0.024096385542168676,0.8256206891230885,0.3845507010974637,0.9800979166299773,0.01990208337002272,0.5323243088637205
0.024899598393574297,0.8235192427373936,0.3851669912820992,0.9797743162566261,0.0202256837433739,0.5324706537693626
0.02570281124497992,0.8214057495762241,0.38570602059810694,0.9794507158832749,0.020549284116725075,0.5325783682406909
0.026506024096385545,0.8182544970019987,0.3861875534537405,0.9789813852737616,0.021018614726238487,0.5325844693637509
0.027309236947791166,0.8158548095474549,0.3867319730629083,0.9786111160030291,0.021388883996970923,0.5326715445329686
0.02811244979919679,0.8132026868520006,0.38740935323669135,0.9781941778349154,0.021805822165084622,0.5328017655358034
0.02891566265060241,0.8107676026209722,0.38817657162980906,0.9777996935702588,0.022200306429741294,0.5329881326000339
0.029718875502008035,0.8083239443976034,0.3893013461358785,0.9773796734938274,0.02262032650617262,0.533340509814853
0.030522088353413655,0.8058473155606984,0.3903991691761476,0.9769521687829104,0.023047831217089622,0.5336756689795289
0.03132530120481928,0.8033568019796147,0.3919928991871438,0.9764885617174154,0.023511438282584576,0.5342407304522796
0.032128514056224904,0.8015542257802257,0.39326500837292205,0.9761425074406073,0.023857492559392776,0.5347037579067646
0.03293172690763052,0.8003708999586276,0.39625662107676496,0.9757819241674445,0.02421807583255552,0.5360192726221047
0.033734939759036145,0.7985288019471739,0.39789706696181515,0.9754006480812919,0.024599351918708063,0.5366488575215534
0.03453815261044177,0.796689765763702,0.3999166301324575,0.9749925153655143,0.025007484634485672,0.5374545727489859
0.03534136546184739,0.7949559067865207,0.4023314814681721,0.9745716147438493,0.02542838525615061,0.5384515481060107
0.03614457831325301,0.7927630071657931,0.4041174652685444,0.9741141714949897,0.025885828505010304,0.539115818381767
0.036947791164658635,0.7905280226380469,0.405574641186152,0.9736664142436997,0.0263335857563003,0.5396205277149259
0.03775100401606426,0.7876309549922185,0.40646583632195143,0.9731451314654034,0.02685486853459662,0.5398054838936774
0.03855421686746988,0.7848235762368699,0.4074396826195387,0.9726273708680415,0.02737262913195851,0.54003352674379
0.03935742971887551,0.7821866725431526,0.4081619819029891,0.972149234806192,0.027850765193808007,0.5401556083545905
0.040160642570281124,0.7794791163544311,0.4088555329562524,0.9716570100206048,0.02834298997939524,0.5402562714884286
0.04096385542168675,0.7764324339040268,0.409944372174588,0.9710758501664231,0.02892414983357695,0.5405101111705055
0.04176706827309237,0.772898385827968,0.4113224904591811,0.970385062430657,0.02961493756934294,0.540853776444919
0.042570281124498,0.7690173410404624,0.4123466461595958,0.969651568251061,0.030348431748938944,0.5409991072053284
0.043373493975903614,0.7653743581578634,0.414589008114188,0.9688577567229628,0.03114224327703714,0.5417233824185754
0.04417670682730924,0.761690756710798,0.4168978503510878,0.9680388496557069,0.031961150344293185,0.5424683500033973
0.04497991967871486,0.757465075243799,0.4188203882448487,0.9671398129721924,0.032860187027807616,0.5429801006085204
0.045783132530120486,0.7535060789197608,0.42071058437964914,0.9662764383706391,0.0337235616293609,0.5434935113751441
0.046586345381526104,0.750215943825919,0.422908027224574,0.9654971558388954,0.03450284416110456,0.5442025915317347
0.04738955823293173,0.7469457337959243,0.4259014366928036,0.9646439075075287,0.03535609249247134,0.5452726721001662
0.04819277108433735,0.7446644389619312,0.4284366712424266,0.9640028705774616,0.03599712942253844,0.5462197709099441
0.048995983935742976,0.7415618487645133,0.42965487749660414,0.9633090009333779,0.03669099906662205,0.546481939214991
0.04979919678714859,0.7378208244364997,0.4308784740439417,0.9624826092316362,0.03751739076836377,0.5466805416377889
0.05060240963855422,0.7342202526468712,0.43224401497782794,0.961659739710829,0.038340260289171056,0.5469518773443284
0.05140562248995984,0.7293988489304368,0.43333465096055024,0.9606070478840498,0.039392952115950196,0.5469708494223
0.052208835341365466,0.7245413469812402,0.434200691394936,0.9595503936037194,0.04044960639628058,0.5468755424993277
0.05301204819277109,0.7197583760206325,0.435246408267991,0.9584748076008665,0.04152519239913354,0.5468606079344287
0.05381526104417671,0.7146390586905056,0.4360747166502562,0.9573323001602593,0.042667699839740766,0.5467035084052577
0.05461847389558233,0.7095897933193911,0.43650234657428905,0.9562254548016131,0.04377454519838684,0.5463639006879512
0.055421686746987955,0.7046960221180207,0.43690302503252143,0.9551375411654897,0.04486245883451033,0.5460202830990056
0.05622489959839358,0.7000796322542252,0.4375516569761174,0.9540676787066552,0.04593232129334484,0.5458096678413863
0.0570281124497992,0.695510453175307,0.4382074759772602,0.9529912121585686,0.047008787841431414,0.5455993440679143
0.05783132530120482,0.6896627590797803,0.439312486075076,0.9515603261539546,0.04843967384604547,0.5454364061145152
0.058634538152610445,0.6855860870927406,0.440358202948131,0.9505146786890443,0.049485321310955746,0.5454364408185876
0.05943775100401607,0.6813138690177579,0.4416734344791899,0.9493770142472219,0.05062298575277812,0.5455252243632058
0.060240963855421686,0.6773747736708053,0.4429706983663818,0.9483018685169857,0.05169813148301428,0.5456362834416837
0.06104417670682731,0.6735328982328015,0.4440936761080646,0.9472544599616082,0.05274554003839177,0.5456740680348363
0.061847389558232935,0.6691987271263635,0.4451088479865458,0.9460850958913759,0.05391490410862406,0.5455969719389607
0.06265060240963856,0.6649161909648729,0.4470367761734668,0.9447972984872233,0.05520270151277671,0.545917037330345
0.06345381526104418,0.6605963594031115,0.4486143353049828,0.9435213884437244,0.05647861155627565,0.5460678618743535
0.06425702811244981,0.6566578848915969,0.45097887723787006,0.9422203828610676,0.057779617138932426,0.5465996300494688
0.06506024096385543,0.6511285675793314,0.4515628256635451,0.9407146505115968,0.05928534948840322,0.546138738087571
0.06586345381526104,0.6454402717416402,0.4520317811684718,0.9391538840850254,0.060846115914974554,0.5455928326267486
0.06666666666666667,0.6396396167626961,0.4525905748927332,0.9375204726766814,0.0624795273233186,0.5450555237847072
0.06746987951807229,0.634303995492935,0.4531403847950611,0.9359843615166511,0.06401563848334889,0.5445623731558561
0.06827309236947791,0.6296341533330508,0.45385549702096467,0.934582973777363,0.06541702622263705,0.5442192353991638
0.06907630522088354,0.6246664412084888,0.45467661834568307,0.933057429160136,0.06694257083986405,0.5438670237529095
0.06987951807228916,0.6198829980108194,0.4552156476616908,0.9316001267985137,0.06839987320148636,0.5434078872301022
0.07068273092369479,0.6155068473211145,0.45586607636967347,0.9302211929626825,0.06977880703731751,0.543043634666178
0.07148594377510041,0.6123624871429845,0.45676984885617977,0.929149129140764,0.07085087085923604,0.5429594889984718
0.07228915662650602,0.6096165169147107,0.45763409252617887,0.9281902153813641,0.07180978461863587,0.5429121539537715
0.07309236947791165,0.6068249399338678,0.4583384241657623,0.9272321821671979,0.07276781783280208,0.5427853031664801
0.07389558232931727,0.6036846969722041,0.45887026642422324,0.9261838930665869,0.07381610693341317,0.542527079745405
